"ParasiteReportedName","ParasiteCorrectedName","HasBinomialName","NameObservations","FLAG","NameID","NameCitation","ParType","ParPhylum","ParClass","ParOrder","ParFamily","StrainorSubsps"
"Eucoleus schvalovoj","Eucoleus schvalovoj","yes","valid name in GBIF","","GBIF ID 4554186","http://www.gbif.org/species/4554186","Helminth","Nematoda","Enoplea","Trichocephalida","Capillariidae",""
"Eucyathostomum","Eucyathostomum sp.","no","valid in papers","","Barmon, B. C. ","Barmon, B. C. (2013).†STUDY ON GASTRO-INTESTINAL PARASITES OF DEER AT CHAR KUKRI MUKRI IN BHOLA DISTRICT†(Doctoral dissertation).","Helminth","Nematoda","Secernentea","Rhabditida","Cloacinidae",""
"Eucyathostomum webbi","Eucyathostomum webbi","yes","valid in papers","","Barmon, B. C. ","Barmon, B. C. (2013).†STUDY ON GASTRO-INTESTINAL PARASITES OF DEER AT CHAR KUKRI MUKRI IN BHOLA DISTRICT†(Doctoral dissertation).","Helminth","Nematoda","Secernentea","Rhabditida","Cloacinidae",""
"Eudiplodinium maggi","Eudiplodinium maggi","yes","valid name in NCBI","","NCBI 47892","","Protozoa","Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae",""
"Euhoplopsyllus glacialis affinis","Euhoplopsyllus glacialis","yes","valid name in GBIF","","GBIF 4480999","","Arthropod","Arthropoda","Insecta","Siphonaptera","Pulicidae",""
"Euhoplopsyllus glacilis","Euhoplopsyllus glacialis","yes","valid name in GBIF","","GBIF 4480999","","Arthropod","Arthropoda","Insecta","Siphonaptera","Pulicidae",""
"Euhoplopsyllus affinis","Euhoplopsyllus glacialis","yes","valid name in GBIF","","GBIF 4480999","","Arthropod","Arthropoda","Insecta","Siphonaptera","Pulicidae",""
"Euhoplopsyllus glacialis","Euhoplopsyllus glacialis","yes","valid name in GBIF","","GBIF 4480999","","Arthropod","Arthropoda","Insecta","Siphonaptera","Pulicidae",""
"Hoplopsyllus affinis","Euhoplopsyllus glacialis","yes","valid name in GBIF","","GBIF 4480999","","Arthropod","Arthropoda","Insecta","Siphonaptera","Pulicidae",""
"Euparadistomum cercopitheci","Euparadistomum cercopitheci","yes","valid USNM","","USNM 1366865","","Helminth","Platyhelminthes","Trematoda","Plagiorchiida","Dricocoeliidae",""
"Euparyphium beaveri","Euparyphium beaveri","yes","Nothing outside of papers likely in GMPD","",NA,"Popiolek, M., Szczesna-Staskiewicz, J., Bartoszewicz, M., Okarma, H., Smalec, B., & Zalewski, A. (2011). Helminth parasites of an introduced invasive carnivore species, the raccoon (Procyon lotor L.), from the Warta Mouth National Park (Poland).†The Journal of parasitology,†97(2), 357-360.","Helminth","Platyhelminthes","Trematoda","Echinostomida","Echinostomatidae",""
"Euparyphium inerme","Euparyphium inermo","yes","valid name in GBIF","","GBIF ID 2505691","","Helminth","Platyhelminthes","Trematoda","Echinostomida","Echinostomatidae",""
